id,title,cuisine,ingredients,image,instructions,desc,rating,volume,readyInMinutes,healthScore,vegetarian,vegan,glutenFree
715415,Red Lentil Soup with Chicken and Turnips,Unknown,"additional toppings: diced avocado, micro greens, chopped basil), 3 medium carrots, peeled and diced, 3 celery stalks, diced, 2 cups fully-cooked chicken breast, shredded (may be omitted for a vegetarian version), ½ cup flat leaf Italian parsley, chopped (plus extra for garnish), 6 cloves of garlic, finely minced, 2 tablespoons olive oil, 28 ounce-can plum tomatoes, drained and rinsed, chopped, 2 cups dried red lentils, rinsed, salt and black pepper, to taste, 1 large turnip, peeled and diced, 8 cups vegetable stock, 1 medium yellow onion, diced",https://img.spoonacular.com/recipes/715415-556x370.jpg,"To a large dutch oven or soup pot, heat the olive oil over medium heat. | Add the onion, carrots and celery and cook for 8-10 minutes or until tender, stirring occasionally. | Add the garlic and cook for an additional 2 minutes, or until fragrant. Season conservatively with a pinch of salt and black pepper.To the pot, add the tomatoes, turnip and red lentils. Stir to combine. Stir in the vegetable stock and increase the heat on the stove to high. Bring the soup to a boil and then reduce to a simmer. Simmer for 20 minutes or until the turnips are tender and the lentils are cooked through. | Add the chicken breast and parsley. Cook for an additional 5 minutes. Adjust seasoning to taste. | Serve the soup immediately garnished with fresh parsley and any additional toppings. Enjoy!","Red Lentil Soup with Chicken and Turnips might be a good recipe to expand your main course repertoire. This recipe serves 8 and costs $3.0 per serving. One serving contains 477 calories, 27g of protein, and 20g of fat. It is brought to you by Pink When. 1866 people have tried and liked this recipe. It can be enjoyed any time, but it is especially good for Autumn. From preparation to the plate, this recipe takes approximately 55 minutes. It is a good option if you're following a gluten free and dairy free diet. Head to the store and pick up salt and pepper, canned tomatoes, flat leaf parsley, and a few other things to make it today. Overall, this recipe earns a spectacular spoonacular score of 99%. If you like this recipe, you might also like recipes such as Red Lentil and Chicken Soup, Red Lentil and Chicken Soup, and Red-Lentil Soup.",5.0,8 portion,55,100,false,false,true
716406,Asparagus and Pea Soup: Real Convenience Food,Unknown,"1 bag of frozen organic asparagus (preferably thawed), 1T EVOO (extra virgin olive oil), a couple of garlic cloves, 1/2 onion, 2-3c of frozen organic peas, 1 box low-sodium vegetable broth",https://img.spoonacular.com/recipes/716406-556x370.jpg,"Chop the garlic and onions. | Saute the onions in the EVOO, adding the garlic after a couple of minutes; cook until the onions are translucent. | Add the whole bag of asparagus and cover everything with the broth. Season with salt and pepper and a pinch of red pepper flakes, if using.Simmer until the asparagus is bright green and tender (if you've thawed the asparagus it will only take a couple of minutes). Turn off the heat and puree using an immersion blender. | Add peas (the heat of the soup will quickly thaw them) and puree until smooth; add more until it reaches the thickness you like.Top with chives and a small dollop of creme fraiche or sour cream or greek yogurt.","Asparagus and Pea Soup: Real Convenience Food requires approximately 20 minutes from start to finish. Watching your figure? This gluten free, dairy free, paleolithic, and lacto ovo vegetarian recipe has 217 calories, 11g of protein, and 8g of fat per serving. This recipe serves 2. For $1.78 per serving, this recipe covers 25% of your daily requirements of vitamins and minerals. Autumn will be even more special with this recipe. It works well as a hor d'oeuvre. 207 people have tried and liked this recipe. It is brought to you by fullbellysisters.blogspot.com. A mixture of vegetable broth, evoo, garlic, and a handful of other ingredients are all it takes to make this recipe so yummy. All things considered, we decided this recipe deserves a spoonacular score of 96%. This score is outstanding. Try Asparagus and Pea Soup: Real Convenience Food, Asparagus and Pea Soup: Real Convenience Food, and Asparagus and Pea Soup: Real Convenience Food for similar recipes.",5.0,2 portion,20,100,true,true,true
644387,Garlicky Kale,Unknown,"3 tablespoons balsamic vinegar, 1 clove garlic, minced, 1 bunch curly kale, stems removed and chopped, Olive oil",https://img.spoonacular.com/recipes/644387-556x370.jpg,"Heat the olive oil in a large pot over medium heat. | Add the kale and cover.Stir occasionally until the volume of the kale is reduced by half. Uncover. | Add garlic and basalmic.Allow to cook for about another 30 seconds or so, mixing well so that the garlic and vinegar are well distributed. | Serve hot.","Garlicky Kale requires approximately 45 minutes from start to finish. This side dish has 170 calories, 2g of protein, and 15g of fat per serving. This recipe serves 2. For 69 cents per serving, this recipe covers 17% of your daily requirements of vitamins and minerals. 19 people have made this recipe and would make it again. This recipe from Foodista requires balsamic vinegar, garlic, curly kale, and olive oil. It is a good option if you're following a gluten free, dairy free, paleolithic, and lacto ovo vegetarian diet. With a spoonacular score of 99%, this dish is outstanding. Try Garlicky Kale, Garlicky Kale, and Garlicky Kale for similar recipes.",4.9,2 portion,45,83,true,true,true
715446,Slow Cooker Beef Stew,Unknown,"1 14.5oz can of Beef Broth, 2 large carrots, chopped, 2 stalks celery, chopped, 1 26oz can Cream of Mushroom Soup, 3 green onions, chopped, 10 new (red)potatoes, 1 small onion chopped, ½ cup Dale's Seasoning, 2 pounds stew meat, 2 cups water",https://img.spoonacular.com/recipes/715446-556x370.jpg,"To get started, heat your slow cooker to low. | Pour in the cream of mushroom soup, Dale's seasoning, water, and beef broth and stir until mixed well. | Add in your stew meat, potatoes, onions, carrots, celery, and green onions. Stir well until covered and cook on low for 8 hours. You can add salt and pepper as desired, but the flavors and the Dale's marry together so well that you probably won’t need them.","If you want to add more gluten free and dairy free recipes to your recipe box, Slow Cooker Beef Stew might be a recipe you should try. One serving contains 434 calories, 44g of protein, and 12g of fat. This recipe serves 6. For $2.7 per serving, this recipe covers 45% of your daily requirements of vitamins and minerals. It works best as a main course, and is done in approximately 8 hours and 10 minutes. If you have green onions, carrots, celery, and a few other ingredients on hand, you can make it. This recipe is liked by 57 foodies and cooks. Autumn will be even more special with this recipe. It is brought to you by Pink When. Taking all factors into account, this recipe earns a spoonacular score of 99%, which is awesome. Similar recipes include Slow Cooker Beef Stew, Slow Cooker Beef Stew, and Slow Cooker Beef Stew.",4.9,6 portion,490,100,false,false,true
782601,Red Kidney Bean Jambalaya,Creole,"2/3 cup dried brown rice (2 cups cooked), 2 medium carrots, sliced, 2 stalks celery, sliced, 1 teaspoon celery seed, 2/3 cup dried kidney beans (2 cups cooked), 1 teaspoon dried marjoram, 2 teaspoons dried thyme, 1 medium eggplant, chopped, 2 cloves garlic, minced or crushed, 3 handfuls of green beans, chopped, fresh ground black pepper, 2 teaspoons ground sage, 1/2 to 1 teaspoon liquid smoke, to taste, 2 tablespoons olive oil, 1 red bell pepper, seeded and chopped, 1 small white or red onion, diced, 1 1/2 teaspoons sea salt, or to taste, 1 teaspoon sriracha or other hot sauce, 2 medium tomatoes, diced, 3 cups vegetable stock",https://img.spoonacular.com/recipes/782601-556x370.jpg,"Rinse the kidney beans and brown rice separately. Cover the kidney beans with water and soak for 8 hours or overnight. In a separate bowl, cover the brown rice with water and soak for 8 hours or overnight. | Drain and rinse the kidney beans, then transfer to a medium saucepan and cover with fresh water. Bring to a boil, reduce heat to medium-low, cover, and simmer for 1 hour or until just tender but not falling apart. | Drain and set aside. | Heat the oil in a large saucepan over medium heat. When hot, add the onion and saut for 5 minutes. Now add the garlic, carrots, celery and green beans, and stir for another 5 minutes. Next add the tomatoes, red pepper, eggplant, sage, thyme, marjoram and celery seed, and continue to stir for another few minutes. | Pour in the vegetable stock, liquid smoke, rice and the cooked kidney beans. Bring to a boil, reduce heat to medium low, cover, and cook, stirring occasionally, for 45 minutes or until the rice is tender. | Add water as necessary if the stew becomes too dry.Season with sriracha, salt and pepper, and taste for seasoning  add more liquid smoke, sriracha, salt, pepper or herbs as desired.","Red Kidney Bean Jambalayan is a main course that serves 6. One portion of this dish contains approximately 18g of protein, 6g of fat, and a total of 393 calories. For $1.68 per serving, this recipe covers 33% of your daily requirements of vitamins and minerals. 53 people were glad they tried this recipe. A mixture of vegetable stock, tomatoes, onion, and a handful of other ingredients are all it takes to make this recipe so flavorful. It is a good option if you're following a gluten free, dairy free, lacto ovo vegetarian, and vegan diet. This recipe is typical of Cajun cuisine. It is brought to you by foodandspice.blogspot.com. From preparation to the plate, this recipe takes roughly 45 minutes. Overall, this recipe earns a tremendous spoonacular score of 99%. Users who liked this recipe also liked Red Kidney Bean Jambalaya, Red Kidney Bean Salad, and Red Kidney Bean Curry.",4.9,6 portion,45,96,true,true,true
716004,Quinoa and Chickpea Salad with Sun-Dried Tomatoes and Dried Cherries,Unknown,"1/3 cup raw cashews, chopped or left whole, 1/3 cup dried cherries, 1/2 cup dried chickpeas (1 1/2 cups cooked or 1 14 oz can), 1/2 teaspoon dried thyme, 1/2 teaspoon ground cumin, 1 1/2 tablespoons honey, 1 medium orange, juiced, 2 tablespoons olive oil, 1 cup dried quinoa (2 cups cooked), 2 teaspoons red wine vinegar, sea salt and fresh cracked black pepper to taste, 1/2 cup sun-dried tomatoes, 1/2 teaspoon turmeric",https://img.spoonacular.com/recipes/716004-556x370.jpg,"Rinse the quinoa and soak for 8 hours or overnight in 2 cups of water. Rinse the chickpeas and soak for 8 hours or overnight in several inches of water.Rinse the chickpeas and transfer to a small saucepan. Cover with fresh water and bring to a boil. Reduce heat to medium-low, cover, and simmer for 1 hour or until buttery soft.While the chickpeas are cooking, soak the sun-dried tomatoes in hot water for 30 minutes, then drain and chop. Meanwhile, bring the quinoa to a boil in a medium saucepan. Reduce heat to the lowest setting, cover, and simmer for 15 minutes or until the water is absorbed. | Remove from heat and wait 5 minutes before fluffing with a fork.Meanwhile, toast the cashews in a dry unoiled skillet or saucepan over medium-low heat, tossing or stirring frequently, for 10 minutes until browned. | Transfer the chickpeas, quinoa, sun-dried tomatoes, cashews and dried cherries to a large mixing bowl. | Whisk the dressing ingredients together and pour over the salad. Stir to combine and serve at room temperature or chilled.","Need a gluten free, dairy free, and vegetarian side dish? Quinoan and Chickpea Salad with Sun-Dried Tomatoes and Dried Cherries could be an awesome recipe to try. This recipe serves 6 and costs $1.87 per serving. One serving contains 539 calories, 21g of protein, and 15g of fat. 34 people have made this recipe and would make it again. Head to the store and pick up honey, juice of orange, chickpeas, and a few other things to make it today. From preparation to the plate, this recipe takes about 45 minutes. It is brought to you by foodandspice.blogspot.com. Taking all factors into account, this recipe earns a spoonacular score of 99%, which is spectacular. Chickpean and Cucumber Salad with Dried Cherries and Cheese, Spinach Quiche with Sun-Dried Tomatoes, and Quinoa Salad With Dried Tart Cherries, Mint, and Fetan in Lemon-Sumac Vinaigrette are very similar to this recipe.",4.9,6 portion,45,100,true,false,true
716627,Easy Homemade Rice and Beans,Unknown,"1 15-ounce can black beans, not drained, 1 10-ounce can Rotel tomatoes with diced green chilies, not drained, 2 tsp chili powder, 1/2 tsp cumin, 1/4 tsp ground black pepper, optional: 4-5 dashes of hot sauce, 1 tsp olive oil, 1/4 cup onion, chopped, 1/2 cup uncooked rice, 3 Tbsp water",https://img.spoonacular.com/recipes/716627-556x370.jpg,"Heat the olive oil in a large pot over medium heat. | Add onions and saute until soft, or for about 5 minutes. | Add all other remaining ingredients and stir together. Increase the heat to medium high and bring to a boil. Cover and reduce heat to medium low so that the mixture simmers. Cook for 15-20 minutes, or until rice is fluffy and liquid is absorbed.* | Serve with salsa, cheese, and sour cream.","Easy Homemade Rice and Beans is a main course that serves 2. One serving contains 446 calories, 19g of protein, and 4g of fat. For $1.06 per serving, this recipe covers 26% of your daily requirements of vitamins and minerals. A mixture of optional: of hot sauce, canned tomatoes, water, and a handful of other ingredients are all it takes to make this recipe so yummy. This recipe from cooking2perfection.blogspot.com has 471 fans. It is a good option if you're following a gluten free, dairy free, lacto ovo vegetarian, and vegan diet. From preparation to the plate, this recipe takes around 35 minutes. Overall, this recipe earns a tremendous spoonacular score of 98%. Easy Homemade Rice and Beans, Easy Homemade Rice and Beans, and Easy Homemade Rice and Beans are very similar to this recipe.",4.9,2 portion,35,60,true,true,true
664147,Tuscan White Bean Soup with Olive Oil and Rosemary,Unknown,"1 bay leaf, 1 tablespoon chopped fresh rosemary, 6 cloves garlic, 1 teaspoon olive oil, 1 medium onion, chopped, Salt, 2 tablespoons water, 2 cups dried white beans, such as great northern or cannellini",https://img.spoonacular.com/recipes/664147-556x370.jpg,"Rinse the beans thoroughly and place them in a 7-quart slow cooker along with the water, onion, garlic, and bay leaf. Cover and cook on LOW for about 8 hours, or until the beans are nice and tender. | Remove the bay leaf. Using a handheld immersion blender, puree the remaining ingredients to the desired texture. | Add the salt to taste.Ladle the soup into bowls. | Drizzle with the olive oil, sprinkle with rosemary, and serve.","Tuscan White Bean Soup with Olive Oil and Rosemary is a gluten free, dairy free, lacto ovo vegetarian, and vegan recipe with 6 servings. This main course has 242 calories, 16g of protein, and 1g of fat per serving. For 50 cents per serving, this recipe covers 19% of your daily requirements of vitamins and minerals. It will be a hit at your Autumn event. 22 people found this recipe to be tasty and satisfying. Head to the store and pick up olive oil, rosemary, garlic, and a few other things to make it today. It is brought to you by Foodista. From preparation to the plate, this recipe takes roughly 45 minutes. With a spoonacular score of 79%, this dish is good. If you like this recipe, take a look at these similar recipes: White Bean Soup with Pastan and Rosemary Oil Drizzle, Tuscan White Bean and Fennel Stew With Orange and Rosemary, and Tuscan White Bean Soup.",4.9,6 portion,45,94,true,true,true
640941,Crunchy Brussels Sprouts Side Dish,Unknown,"¼ tsp black pepper, 800 g Brussels sprouts, trimmed (or 1 kg untrimmed), 1 tsp Dijon mustard, ½ tsp of honey, 3 Tbs olive oil, 2 Tbs red wine vinegar, ¼ cup walnuts, toasted, coarsely chopped",https://img.spoonacular.com/recipes/640941-556x370.jpg,"Blanch the Brussels sprouts in boiling water for 6-8 minutes or in a microwave oven in a little water for about 4 minutes. | Drain. | Saute the Brussels sprouts, stirring constantly, until they become golden-brown in color.Meanwhile mix the vinegar, mustard, honey and olive oil. | Add walnuts to the sprouts, stir and combine. | Pour the vinegar dressing over the sprouts, season with pepper. | Mix and combine so that each sprout is covered with the dressing. | Serve warm or cold as a side dish.","The recipe Crunchy Brussels Sprouts Side Dish can be made in about 30 minutes. For $1.69 per serving, you get a side dish that serves 4. One serving contains 232 calories, 8g of protein, and 16g of fat. This recipe is liked by 26 foodies and cooks. It is brought to you by Foodista. A mixture of red wine vinegar, walnuts, dijon mustard, and a handful of other ingredients are all it takes to make this recipe so yummy. It is a good option if you're following a gluten free, dairy free, paleolithic, and lacto ovo vegetarian diet. All things considered, we decided this recipe deserves a spoonacular score of 98%. This score is spectacular. Similar recipes include Side Dish Sundays: Cacio e Pepe Brussels Sprouts, Easy Side Dish – Roasted Brussels Sprouts and Grapes, and Side Dish Sundays: Cacio e Pepe Brussels Sprouts.",4.9,4 portion,30,100,true,false,true
660306,Slow Cooker: Pork and Garbanzo Beans,Unknown,"2 tsp cinnamon, 1 Tbsp dried cumin, 16 oz bag of dried garbanzo beans (rinsed, but not soaked) *1, 2 tsp ground black pepper, 1 small onion, sliced, 3lb Pork Should Roast – bone-in, 2 tsp salt, 4 cups of water (also see “Notes” at bottom of recipe) *2",https://img.spoonacular.com/recipes/660306-556x370.jpg,"In slow cooker layer in this order: pork, then garbanzo beans, onion, pour water over all. | Mix spices together and sprinkle over pork and beans. Cover. Set on low and cook for approximately 6 hours. The beans should be tender and creamy. The pork should fall very easily from the bone. The pork can be either shredded for cubed for your preference. *3Serving Suggestion: Scoop about 1 cup of beans with broth into a soup bowl. Top with shredded pork. | Add 1/4 of an avocado sliced, top with chopped fresh cilantro.NOTES:*1 The beans do not need to be soaked before adding to the slow cooker. They will be perfectly soft and creamy without pre-soaking.*2 Substitute the water for: 2 cups water and 1 bottle of good quality dark beer like Negra Modelo. You can also substitute the water for chicken stock or pork stock. Each of these substitutions will add an extra dimension of flavor.*3 If you want to shred the pork, it is easiest to do when the pork is hot. Use two forks to pull the pork apart and shred. If you want to slice the pork (like for sandwiches) it is best to do when the pork is cold. | Let the pork rest in the refrigerator for several hours or over night. Slice with a serrated knife or a very sharp chef knife.","Slow Cooker: Pork and Garbanzo Beans takes approximately 45 minutes from beginning to end. This recipe serves 6. This main course has 587 calories, 66g of protein, and 14g of fat per serving. For $2.99 per serving, this recipe covers 45% of your daily requirements of vitamins and minerals. Head to the store and pick up water *2, cumin, pork should roast, and a few other things to make it today. This recipe is liked by 22 foodies and cooks. It is brought to you by Foodista. It is a good option if you're following a gluten free and dairy free diet. With a spoonacular score of 96%, this dish is outstanding. Similar recipes include Slow Cooker Pork and Beans, Slow Cooker Pork and Beans, and Slow Cooker Pork and Beans.",4.9,6 portion,45,100,false,false,true
