id,title,cuisine,ingredients,image,instructions,desc,rating,volume,readyInMinutes,healthScore,vegetarian,vegan,glutenFree
715769,"Broccolini Quinoa Pilaf","Mediterranean","1 bunch broccolini, trimmed, 1 garlic clove, minced, 1 tbsp olive oil, ½ cup onion, 1 cup quinoa, rinsed, 2 cups vegetable broth, 2 oz chopped walnuts","https://img.spoonacular.com/recipes/715769-556x370.jpg","In a large pan with lid heat olive oil over medium high heat. | Add onions and cook for 1 minute. | Add garlic and cook until onions are translucent and garlic is fragrant. | Add quinoa to pan, stir to combine. Slowly add in broth and bring to a boil.Cover and reduce heat to low, cook for 15 minutes.In the last 2-3 minutes of cooking add in broccolini on top of the quinoa (do not stir) and cover.Uncover and toss broccolini and quinoa together.Season to taste with salt and pepper. | Add walnuts and serve hot.","Broccolini Quinoa Pilaf requires approximately 30 minutes from start to finish. For $4.14 per serving, you get a main course that serves 2. One portion of this dish contains around 20g of protein, 31g of fat, and a total of 625 calories. Head to the store and pick up vegetable broth, onion, olive oil, and a few other things to make it today. A few people made this recipe, and 94 would say it hit the spot. It is a rather expensive recipe for fans of Mediterranean food. It is a good option if you're following a gluten free, dairy free, lacto ovo vegetarian, and vegan diet. It is brought to you by Pick Fresh Foods. With a spoonacular score of 98%, this dish is excellent. Similar recipes are Spring Broccolini & Kale Quinoa Bowls, Orange-Sesame Salmon with Quinoa & Broccolini, and Black Pepper Goat Cheese and Chard Quinoa with Roasted Broccolini.",4.9,"2 portion",30,74,true,true,true
659109,"Salmon Quinoa Risotto","Mediterranean","1 cup Quinoa, 1 medium Onion (diced), 8 Leaves of Kale (stems removed and cut into ribbons), 5 Garlic Cloves (finely chopped), 3 tablespoons Olive Oil (divided), 10 ounces Poached Salmon (flaked)*, 32 ounces Organic Vegetable Stock, Salt, Pepper","https://img.spoonacular.com/recipes/659109-556x370.jpg","In a 4 quart saucepan, heat 2 tablespoons of olive oil over medium high heat. | When oil is shimmering, add diced onion. | Saute onion until transparent. | Add quinoa to onion mixture and stir, to toast quinoa, for 2 minutes. | Add 1 cup of vegetable stock to quinoa and onions. | Stir until stock is absorbed.  Once stock is absorbed, add 1 cup of stock. | Continue stirring until stock is absorbed. | Add remaining stock in 1/2 cup intervals, stirring until all stock is absorbed. | Remove from heat. | While preparing the onion quinoa mixture, heat 1 tablespoon of oil in a saute pan with chopped garlic (over medium high heat). | Once garlic is sizzling, add chopped kale to the pan. | Turn kale to coat with oil and garlic. | Turn kale mixture until fragrant (approximately 2 minutes). | Remove kale mixture from heat. | Once quinoa is complete, add kale and salmon. | Stir to combine. | Add salt and pepper to taste.","Salmon Quinoa Risotto might be just the main course you are searching for. One serving contains 437 calories, 25g of protein, and 20g of fat. This recipe serves 4. For $3.83 per serving, this recipe covers 43% of your daily requirements of vitamins and minerals. Head to the store and pick up quinoa, poached salmon, olive oil, and a few other things to make it today. It is a good option if you're following a gluten free, dairy free, and pescatarian diet. It is a rather expensive recipe for fans of Mediterranean food. 3 people found this recipe to be yummy and satisfying. From preparation to the plate, this recipe takes roughly 45 minutes. It is brought to you by Foodista. Overall, this recipe earns an outstanding spoonacular score of 94%. Similar recipes include Salmon Quinoa Risotto, Salmon Quinoa Risotto, and Quinoa Risotto With Salmon And Kale.",4.8,"4 portion",45,100,false,false,true
648279,"Italian Tuna Pasta","Mediterranean","2 fresh chillies, 1 tablespoon minced garlic, Ground black pepper, 2 lemons, juiced, 1/2 cup of chopped parsley leaves, 250 grams of pasta shells (cook pasta according to packet's instructions), 1 red pepper, 400 grams of tuna, drained and flaked","https://img.spoonacular.com/recipes/648279-556x370.jpg","Once pasta is cooked, drain and leave to cool for a minute. | Place small skillet on medium fire, drizzle olive oil, add in red pepper and stir-fry for 1-2 minutes. Put aside.Toss pasta shells, red pepper, tuna, parsley, garlic, chillies and lemon juice. Season with ground black pepper to taste, spoon into serving bowls.","Italian Tuna Pastan is a Mediterranean main course. Watching your figure? This dairy free and pescatarian recipe has 464 calories, 38g of protein, and 3g of fat per serving. For $2.09 per serving, this recipe covers 35% of your daily requirements of vitamins and minerals. This recipe serves 3. 1 person found this recipe to be yummy and satisfying. From preparation to the plate, this recipe takes around 20 minutes. It is brought to you by Foodista. A mixture of chillies, pasta shells, juice of lemon, and a handful of other ingredients are all it takes to make this recipe so tasty. Taking all factors into account, this recipe earns a spoonacular score of 93%, which is excellent. Try Italian Tuna Pasta Salad, Pastan and Tuna Salad (Ensalada de Pasta y Atún), and Raw tomato sauce for pasta, the Italian pastan alla crudaiola for similar recipes.",4.7,"3 portion",20,100,false,false,false
1095745,"Mushroom Hummus Crostini","Mediterranean","1 loaf crusty bread, 1 pound mushrooms, 2-3 handfuls Fresh Spinach, 1 14oz can chickpeas, 1 clove garlic, 1 tbsp Lemon Juice, 1 tbsp Tahini, 1 tbsp olive oil, 2-3 tbsp Water, 1/4 tsp Ground Cumin, 2-3 tbsp Harissa","https://img.spoonacular.com/recipes/1095745-556x370.jpg","To make the hummus, place all ingredients in a food processor and blend until smooth. Adjust the amount of water and harissa pasta depending on how thick and spicy you want your hummus. It should still be spreadable. Set the hummus aside.Slice the mushrooms and fry in a shallow pan until they are golden and crispy. Once they are ready, push them to one side of the pan and add the spinach to wilt.To assemble the crostini, spread some hummus on a slice of the bread (you can toast it if you like), then top with some spinach and mushrooms. | Serve immediately.","Mushroom Hummus Crostini is a Mediterranean hor d'oeuvre. One serving contains 450 calories, 21g of protein, and 10g of fat. This recipe serves 4 and costs $2.41 per serving. Head to the store and pick up water, mushrooms, harissa, and a few other things to make it today. 1 person were impressed by this recipe. From preparation to the plate, this recipe takes around 30 minutes. It is a good option if you're following a dairy free, lacto ovo vegetarian, and vegan diet. It is brought to you by Foodista. Taking all factors into account, this recipe earns a spoonacular score of 91%, which is super. If you like this recipe, take a look at these similar recipes: Hummus And Cucumber Crostini, Seared Tuna with Hummus on Crostini, and Beet Hummus and Caramelized Onion Crostini.",4.6,"4 portion",30,92,true,true,false
658753,"Roma Tomato Bruschetta","Mediterranean","2 tablespoons balsamic vinegar, 4 tablespoons extra virgin olive oil, 1 loaf french bread, 10 leaves fresh basil, 1 clove garlic, minced, Pepper to taste, Salt to taste, 4 mediums tomatoes, roma","https://img.spoonacular.com/recipes/658753-556x370.jpg","Slice the bread on a bias about 1/2 inch thick. We need about 10-12 slices.Take 2 tablespoons of extra virgin olive oil and add salt and pepper (about 1/3 teaspoon each - as per taste). | Brush this on both sides of the bread. | Place these slices on a sheet pan and bake for about 3-4 minutes in a 400 degree preheated oven till golden brown. Once one side is done, turn over the crostini to the other side to crisp that as well.When the crostini are hot out the oven, rub a garlic clove on them.Chop the tomatoes.Chiffonade the basil and add to the tomatoes. | Add salt, pepper, olive oil and balsamic vinegar and let it rest for a few minutes.Put a generous amount of tomato on the crostini and serve.","Need a dairy free, lacto ovo vegetarian, and vegan hor d'oeuvre? Roma Tomato Bruschetta could be an outstanding recipe to try. One serving contains 446 calories, 13g of protein, and 17g of fat. This recipe serves 4 and costs $1.89 per serving. If you have basil, extra virgin olive oil, bread, and a few other ingredients on hand, you can make it. 5 people have made this recipe and would make it again. It is an affordable recipe for fans of Mediterranean food. It is brought to you by Foodista. From preparation to the plate, this recipe takes about 45 minutes. Overall, this recipe earns a tremendous spoonacular score of 91%. Try Roma Tomato Rings Stuffed With Cream Cheese, Tomato Bruschetta, and Tomato Bruschetta for similar recipes.",4.6,"4 portion",45,61,true,true,false
641893,"Easy Cheesy Pizza Casserole","Mediterranean","1 lb ground beef or equivalent amount of a ground beef/bulk Italian sausage mix, 1/2 cup ricotta, pinch of oregano, pinch of basil, 1 Tbs grated Parmesan cheese, 1 - 26 oz jar of pasta sauce, 1 can pizza sauce, 1/8 - 1/2 tsp crushed red pepper flakes, Pepperoni slices (I used 1/2 of a package of Hormel brand), 2 cups shredded mozzarella, 1/2 cup shredded aged Provolone, Herbed Parmesan Drop Biscuits, Additional Parmesan cheese for topping, 2 1/4 cup baking mix (like Bisquick or Jiffy), 1/4 cup grated Parmesan cheese, 1 tsp Italian seasoning, 2/3 cup milk, -or-, -or-","https://img.spoonacular.com/recipes/641893-556x370.jpg","Brown ground beef in skillet; drain fat. | Mix in pasta or pizza sauce and pepper flakes; set aside. | Mix ricotta cheese with the herbs and Parmesan in a separate bowl; set aside. | Mix the dry ingredients for the biscuits. | Add milk and stir until combined. | Preheat oven to 375 degrees.  Spray a 13 x 9 pan with non-stick spray.  Drop biscuit dough by teaspoons in the bottom of pan, spacing evenly.  It's OK if there is space between the dough--it will expand as it's cooked.  Top with ground beef mixture and dot with the ricotta cheese mixture. | Bake at 375 for about 20 min or until biscuits are puffed and beginning to get golden brown. | Top with mozzarella and provolone cheeses and distribute pepperoni slices evenly over top, increase oven temperature to 425 degrees.  Return to oven and bake until cheeses are melted and beginning to bubble.  This should take about 10 minutes. | Remove from oven and let stand 5 minutes before slicing and serving.  May be topped with the additional Parmesan cheese.","You can never have too many Mediterranean recipes, so give Easy Cheesy Pizza Casserole a try. This main course has 902 calories, 57g of protein, and 55g of fat per serving. For $3.95 per serving, this recipe covers 37% of your daily requirements of vitamins and minerals. This recipe serves 6. Autumn will be even more special with this recipe. 181 person were impressed by this recipe. From preparation to the plate, this recipe takes around 45 minutes. This recipe from Foodista requires equivalent amount of a ground beef/bulk sausage mix, milk, oregano, and pepperoni. Taking all factors into account, this recipe earns a spoonacular score of 83%, which is spectacular. Easy Cheesy Pizza Casserole, Cheesy Pizza Casserole, and 20 Minute Cheesy Pizza Casserole are very similar to this recipe.",4.6,"6 portion",45,29,false,false,false
716300,"Plantain Pizza","Mediterranean","1 cup of chopped Beef, 1 Bell pepper (Blended), 1 handful of chopped bell peppers, 2 cups of Bread flour, Seasoning cube, 1 tablespoon of oil, 1 teaspoon oil, A handful of chopped onions, 1 over-ripe plantain (Mashed), 1 teaspoon salt, 1/2 teaspoon of sugar, 1 tomato(Blended), 3/4 cup of water, 1.5 teaspoons of yeast","https://img.spoonacular.com/recipes/716300-556x370.jpg","Dissolve the yeast in warm water and leave to stand for about 5 minutes. | Mix the oil, flour, salt, sugar and mashed plantain and pour in the dissolved yeast.Knead the dough till its elastic which may take aBout 15-20 minutes By hand or 10 minutes in a mixer.Coat a Bowl lightly with oil and place the dough in it. Cover with a plastic wrap and leave to rise between 1.5 – 2 hours.While the dough is rising, heat up the oil for the sauce, fry the Blended tomato and pepper, season and stir fry the Beef in the tomato sauce. Set aside.When the dough rises, divide into two. | Sprinkle some flour on a flat surface and with a rolling pin, flatten out the dough but not excessively. | Cut the dough into your desired shape, rub some oil on it and spread your sauce and toppings on it and set aside. | Heat up your oven to 350 F and place your pizza dough on a lightly oiled foil pan and | Bake for 12-15 mins. | Serve warm","Plantain Pizzan is a Mediterranean main course. One serving contains 657 calories, 27g of protein, and 23g of fat. This dairy free recipe serves 3 and costs $1.47 per serving. 95 people were impressed by this recipe. It is brought to you by Afrolems. If you have tomato), bell pepper, bell peppers, and a few other ingredients on hand, you can make it. From preparation to the plate, this recipe takes about 45 minutes. All things considered, we decided this recipe deserves a spoonacular score of 91%. This score is outstanding. Similar recipes include How to Spiralize a Plantain & Plantain “Rice” and Beans, Plantain Chips, and Plantain Fritters.",4.6,"3 portion",45,29,false,false,false
664737,"Veggie Lasagna Rolls with Peppery Pecorino Marinara","Mediterranean","1 teaspoon EACH DRIED BASIL& OREGANO, 12 LARGE BASIL LEAVES, 1 teaspoon FRESH MINCED CHIVES, 2 tablespoons FRESH MINCED PARSLEY, 10 FRESH SAGE LEAVES- CUT INTO CHIFFONADE, 4 MINCED GARLIC CLOVES, 3/4 teaspoon GARLIC SALT, 1/2 teaspoon GROUND NUTMEG, 8 sheets OF DRIED LASAGNA, 16 ounces LOW FAT RICOTTA CHEESE, 4 MUSHROOMS DICED, 4 tablespoons OLIVE OIL, 1 teaspoon FRESH MINCED OREGANO, 1/4 cup SHREDDED OR GRATED PARMESAN, 1/2 cup CUBE DICED PECORINO CHEESE, 3/4 teaspoon CRACKED BLACK PEPPER, 1/2 teaspoon RED PEPPER FLAKES, 1/4 cup SHREDDED MOZZARELLA, 1 cup SPINACH- WASHED, 28 OZ CAN WHOLE SAN MARZANO TOMATOES, 1 SMALL ZUCCHINI SHREDDED","https://img.spoonacular.com/recipes/664737-556x370.jpg","PREHEAT THE OVEN TO 425*COOK THE LASAGNA NOODLES PER PACKAGEINSTRUCTIONS. RINSE W/ COOL WATER, DRAIN &SET ASIDE.COMBINE ALL THE INGREDIENTS FOR THE RICOTTA  FILLING & SET ASIDE.BEGIN THE SAUCE. PLACE THE GARLIC & OLIVE OIL IN  A SAUTE PAN, COOK UNTIL THE GARLIC JUST STARTS TO BROWN. ADD THE CANNED TOMATOES ALL AT ONCE AND COOK FOR 1-2 MINUTES. THE TOMATO JUICE WILL START TO CARAMELIZE. CRUSH THE WHOLE TOMATOES WITH THE BACK OF A SPOON. ADD THE DRIED BASIL, OREGANO AND SAGE AND COOK DOWN AT MEDIUM HAT FOR ABOUT 20 MINUTES, UNTIL THE SAUCE IS THICK. ADD THE CHEESE AND COOK FOR ANOTHER MINUTES, STIRRING THE CHEESE INTO THE SAUCE.LAY THE LASAGNA NOODLES OUT ON A CUTTING BOARD AND SPREAD WITH THE RICOTTA FILLING. DIVIDE THE SPINACH EQUALLY ON THE NOODLES AND THEN TOP WITH THE BASIL LEAVES.SPRINKLE THE MUSHROOMS AND ZUCCHINI ON TOP AND ROLL THE NOODLES MAKING A ROLLED NOODLE.PLACE A SMALL SPOONFUL OF MARINARA IN A DISH, PLACE THE LASAGNA ROLLS ON TOP OF THE SAUCE. BAKE ABOUT 15 MINUTES UNTIL THE ROLLS ARE HOT AND THE SPINACH IS JUST WILTED.TOP WITH THE MARINARA AND SOME SHAVED PECORINO. SERVE HOT.","Veggie Lasagna Rolls with Peppery Pecorino Marinara might be a good recipe to expand your main course recipe box. One serving contains 508 calories, 25g of protein, and 22g of fat. For $3.1 per serving, this recipe covers 38% of your daily requirements of vitamins and minerals. This recipe serves 6. Only a few people really liked this Mediterranean dish. 1 person has tried and liked this recipe. A mixture of spinach, ground nutmeg, garlic cloves, and a handful of other ingredients are all it takes to make this recipe so flavorful. From preparation to the plate, this recipe takes around 45 minutes. It is brought to you by Foodista. With a spoonacular score of 91%, this dish is excellent. Try Lasagna Marinara Rolls, Veggie Lasagna Rolls, and Braided Peppery Cheese Rolls for similar recipes.",4.6,"6 portion",45,88,false,false,false
664565,"Vegetable Minestrone Soup","Mediterranean","1 bay leaf, 1 14 oz can cannellini beans, 4 carrots, 1 1/2 tsp Dried Basil, 1 1/2 cups (6 oz) elbow macaroni, 1 tsp Ground Pepper, 2 tsps olive oil, 1 onion, 1 tsp Grated Parmesan Cheese, 1 1/2 tsp salt, 2 14 oz cans diced tomato, 2 zucchini","https://img.spoonacular.com/recipes/664565-556x370.jpg","In a deep sauce pan or pot, heat about 2 tsps of oil or butter. | Add bay leaf. When the bay leaf begins to splutter, add finely chopped onions and saute for a couple of mins until the onions are translucent.In the meanwhile, boil water with a pinch of salt in another pot. | Add pasta and cook for about 6 to 7 mins. When done, drain all the water and set the pasta aside. | Add the chopped zucchini and chopped carrots to the sauteed onions. Now, add salt and ground pepper and saute for a couple of mins. Empty the diced tomato cans into the sauce pan now. | Add the remaining spices  red chilli powder and dried basil to the tomatoes. Cover and let cook for at least 5 mins.Empty the cannellini beans into a bowl. Rinse under running water to drain out all the canned liquid and add the beans to the sauce pan. Also, add the cooked pasta now. | Add about 2 cups of water, cover and let cook for about 15 mins. Give a taste test and adjust salt if needed. | Serve with a hint of grated Parmesan cheese as garnish and some bread to dip into it!","If you want to add more Mediterranean recipes to your recipe box, Vegetable Minestrone Soup might be a recipe you should try. This recipe serves 4 and costs $1.24 per serving. One portion of this dish contains approximately 19g of protein, 4g of fat, and a total of 412 calories. Autumn will be even more special with this recipe. Head to the store and pick up basil, tomato, carrots, and a few other things to make it today. It is brought to you by Foodista. It works best as a main course, and is done in about 30 minutes. 1 person were impressed by this recipe. Taking all factors into account, this recipe earns a spoonacular score of 91%, which is awesome. If you like this recipe, take a look at these similar recipes: Vegetable Minestrone Soup, Easy Vegetable Minestrone Soup, and Vegetable Garden Minestrone Soup.",4.6,"4 portion",30,80,false,false,false
654125,"Osso Buco","Mediterranean","6 veal shanks, 4 tablespoons chopped parsley, Grated rind of 1/2 lemon, Flour, salt, pepper for dredging, 4 tablespoons olive oil, 3 cloves garlic, finely chopped, 1 onion, finely chopped, 1 cup chicken stock, boiling, 1 cup dry white wine, 4 tablespoons tomato sauce","https://img.spoonacular.com/recipes/654125-556x370.jpg","Dredge veal in seasoned flour and saute in olive oil until lightly browned on all sides. | Add garlic and onion. | Pour boiling stock, white wine and tomato sauce over meat. Cover pan and simmer 1 1/2 hours or until meat is tender. | Add parsley and grated lemon rind. | Serve over saffron rice.","Osso Buco is a Mediterranean main course. This dairy free recipe serves 6 and costs $7.42 per serving. One serving contains 445 calories, 46g of protein, and 18g of fat. If you have olive oil, parsley, tomato sauce, and a few other ingredients on hand, you can make it. From preparation to the plate, this recipe takes around 45 minutes. 2 people have made this recipe and would make it again. It is brought to you by Foodista. Taking all factors into account, this recipe earns a spoonacular score of 80%, which is great. Osso Buco, Osso Buco, and Osso Buco are very similar to this recipe.",4.6,"6 portion",45,79,false,false,false
